东方艺术中心 , 浦东新区丁香路425号
上海当代艺术博物馆 , 上海市黄浦区花园港路200号
上海世贸商城 , 虹桥经济开发区延安西路2299号
闵行体育馆 , 闵行区新镇路288号（近热带风暴）
上海精武体育馆(原虹口体育馆) , 虹口区东体育会路715号
上海杜莎夫人蜡像馆 , 黄浦区南京西路2-68号新世界城10楼
东方明珠演艺剧场 , 浦东新区陆家嘴环路504弄
上海马戏城 , 闸北区共和新路2266号
金海岸杨浦大剧院 , 控江路1155号（近靖宇南路）
金茂音乐厅 , 浦东新区世纪大道88号（金茂大厦裙房1楼）
上海海洋水族馆 , 浦东新区银城北路158号
上海大舞台（上海体育馆） , 徐汇区漕溪北路1111号
旗忠森林体育城 , 闵行区元江路5500号（近昆阳北路）
上海木偶剧团儿童文化新天地（演展中心） , 上海市静安区南京西路388号（仙乐斯广场五楼）
可·当代艺术中心-小剧场 , 长宁区凯旋路613号(近延安西路)
上海橄榄球俱乐部 , 浦东新区金桥碧云国际社区(金桥家乐福对面)
同乐坊（芷江梦工场） , 静安区余姚路66号
世纪公园 , 浦东新区锦绣路1001号
上海市世博园 , 浦东新区西藏北路
马兰花排演厅 , 静安区华山路643号
话剧艺术中心 , 徐汇区安福路288号（近武康路）
上海体育场（八万人体育场） , 徐汇区天钥桥路666号
上海国际赛车场（F1赛车场） , 近郊嘉定区伊宁路2000号
上海国际体操中心（长宁体操中心） , 长宁区武夷路777号（中山西路口）
上海源深体育馆 , 浦东新区张杨路1458号源深体育中心内
宛平剧院 , 徐汇区中山南二路859号
金山体育场 , 合浦路147号
闸北体育场 , 共和新路2100号
逸夫舞台（天蟾剧院） , 福州路701号
上海东方明珠演艺剧场 , 陆家嘴环路504弄
上海城市剧院 , 都市路4889号（莘庄地铁站南广场）
Mao Livehouse Shanghai , 卢湾区重庆南路308号（近建国中路）
上海国际展览中心 , 国家会展中心崧泽大道333号
上海七宝教寺 , 闵行区七宝镇新镇路1205号
测试场馆 , 上海市静安区江宁路466号（康定路交汇处）
仲盛世界商城5楼 , 闵行区都市路5001号
上海浦东香格里拉大酒店 , 浦东新区富城路33号
上海大自然野生昆虫馆 , 浦东新区陆家嘴金融贸易区丰和路1号
上海市工人文化宫小剧场 , 黄浦区西藏中路120号(北海路口)
江湾体育中心 , 杨浦区国和路346号
鲁班路909号黑匣子鬼屋 , 鲁班路909号
上海东亚展览馆 , 天钥桥路666号
豫·上海剧院 , 黄浦区旧校场路69号
上海大世界共舞台 , 黄浦区西藏南路1号
静安创意空间 , 康定路1147号
长宁文化艺术中心剧场 , 仙霞路650号(近安龙路)
粒米 Lifeismore Lounge Bar , 常德路800号C3 102-104（近昌平路，800秀园区内）
上海仙霞网球馆 , 虹桥路1885号
中国福利会儿童艺术剧院 , 上海市华山路643号
上海红坊国际公共文化艺术社区 , 淮海西路570-588号
上海大学生体育中心体育馆（国际滑冰馆） , 文翔路2000号
上海视觉艺术中心-大眼睛剧场 , 松江区文翔路2200 号(近动感地带)
上海汽车会展中心 , 嘉定区安亭博园路7575号
上海夏季音乐节音乐厅 , 徐汇区汾阳路近淮海中路（上海音乐学院旁）
长风公园 , 普陀区大渡河路189号
朱家角课植园 , 青浦区朱家角镇西井街119号(近涌泉桥)
上海天马山赛车场 , 上海市松江区佘山镇沈砖公路3000号
新光悬疑剧场 , 上海市宁波路586号
Kento’s Live house , 上海市静安区余姚路18号3楼(近西康路)
上海师范大学 , 上海市徐汇区桂林路100号
上海浦东新区 , 上海市浦东新区
朱家角水乐堂 , 上海市青浦区古镇朱家角西井街漕港滩3号
华东理工大学 , 上海市徐汇区梅陇路130号
上海大学 , 上海市宝山区上大路99号
上海金融学院 , 上海浦东新区上川路995号
上海科技馆 , 浦东新区世纪大道2000号
上海群众艺术馆 , 上海市徐汇区古宜路125号（近中山西路宜山路）
上海群艺馆星剧场 , 上海市徐汇区古宜路125号（中山西路1551号）
中山公园 , 上海市长宁区长宁路780号
上海戏剧学院 舞蹈学院 , 上海市闵行区莲花路211号（近平阳路）
八佰秀 , 上海市静安区常德路800号（近昌平路）
创智天地江湾体育中心 , 国和路346号
世博庆典广场 , 浦东新区浦东世博园区A片区(近世博文化中心)
JZ Club , 上海市徐汇区复兴西路46号（靠近永福路口）
浦东三林影剧院（原杨思影剧院） , 上海市浦东新区杨新路61号（近上南路）
育音堂 , 上海市长宁区凯旋路851号，近延安西路
上海星舞台（上海群艺馆星剧场） , 上海市徐汇区古宜路125号（中山西路1551号）
上海世博中国馆 , 上海市浦东新区世博园内A片区世博轴东侧
上海国际客运中心码头 , 上海市虹口区东大名路800号
上海美兰湖高尔夫俱乐部 , 上海市宝山区沪太路6655号
浦东源深体育中心 , 上海市浦东新区源深路655号
嘉定安亭上海国际汽车城博园路（7575号） , 上海市嘉定区安亭博园路7575号
浦西洲际酒店 , 上海市闸北区恒丰路500号
世博公园 , 上海市浦东卢浦大桥下、北邻黄浦江
800秀剧场 , 上海市静安区常德路800号（近昌平路）
场馆待定 , 暂无
上海—兰会所 , 上海市黄浦区广东路102号（广东路四川中路）
虹口工人文化宫 , 飞虹路380号（近大连路）
上海可当代艺术中心 , 长宁区凯旋路613号（近延安西路）
山海Live House , 澳门路477号中华1912文化创意产业园7号楼1层（近陕西北路）
外滩MJ98 Club , 外滩中山东二路575号（近东门路）
CLUB G PLUS , 卢湾区兴业路123弄新天地南里广场6号楼5楼
上海世博会展中心（原世博园非洲联合馆） , 上海市浦东新区世博园内c区
水舍 , 毛家园路1-3号
上海市收藏鉴赏家协会聚金展示馆 , 鲁班路166号2楼
震旦博物馆 , 上海市浦东陆家嘴富城路99号
BOOM Shanghai , 上海市徐汇区淮海中路1131号
幸福码头（futown） , 上海市黄浦区中山南路1029号幸福码头6号楼2F
上海星火影剧院 , 上海市闸北区芷江西路1号
辰山植物园 , 上海市松江区辰花公路3888号
江南三民文化村 , 上海崇明林风公路2201号（东平森林公园与前卫村之间）
上海世博展览馆 , 上海浦东新区国展路1099号
上海虹桥元一希尔顿酒店 , 上海市闵行区红松东路1116号
工人文体活动中心 , 上海市虹口区飞虹路528号（近大连路）
Hollywood Shanghai , 徐汇区岳阳路46号（近东平路）
创智环境戏剧沙龙 , 杨浦区淞沪路388号创智天地江湾体育场环廊（125-127单元）
MISA陆家嘴主会场- 陆家嘴中心绿地 , 浦东新区陆家嘴东路160号
MISA黄浦分会场-外滩源（原联合教堂） , 上海市黄浦区南苏州路107号
上海紫金山大酒店 , 上海市浦东新区东方路778号
IBIZA CLUB , 静安区江宁路428号1F
Iface Club , 长宁区中山西路888号银河宾馆2楼
上海浦东假日酒店东广场 , 上海浦东新区东方路899号
老码头阳光沙滩 , 上海市黄浦区十六铺码头滨江平台（近毛家园路）
BROWN SUGAR , 卢湾区太仓路181弄新天地北里15号楼（近马当路）
鲁迅公园 , 上海市虹口区四川北路甜爱支路
上海汽车博览公园 , 上海市嘉定区安亭博园路7001号
徐汇滨江绿地 , 上海徐汇区东安路与龙腾大道交界处
佛果VIRGO CLUB , 上海黄浦中山南路505号老码头11号
上海浦东陆家嘴滨江大道 , 上海市浦东新区陆家嘴滨江大道
上海On Stage , 上海长宁区淮海西路570号红坊艺术文化社区A2
龙华寺 , 上海市徐汇区龙华路2853号
派对新地PartyTown , 上海浦东新区锦延路35号（近锦康路）
Mook Club , 上海市静安区南京西路758号5-6楼（近凤阳路）
X-Club 镭战主题酒吧 , 徐汇区肇嘉浜路366号裕华大厦B1楼(襄阳南路口)
上海海艺数字影城 , 上海市浦东新区华佗路280弄31号上海电影艺术学院
上海民生现代美术馆 , 长宁区淮海西路570号号红坊创意园区F座(近虹桥路)
泰坦尼克展馆（原希腊馆） , 上海世博园C片区近北环路
上海婚礼中心 , 上海宝山区纪蕰路458号(近南蕴藻路)
长宁民俗文化中心 , 天山西路201号
ZEAL , 上海市黄浦区中山东二路22号6楼（近金陵东路）
Bar Rouge , 黄浦区中山东一路18号外滩18号7楼
当代运动馆 , 黄浦区外马路1353号7-8号楼(近南浦大桥)
Arkham Club , 乌鲁木齐南路1号（近衡山路）
上海儿童艺术剧场 , 卢湾区局门路436号原世博园E片区上汽通用汽车馆(近苗江路)
上海茉莉花剧场 , 上海市黄浦区北海路251号（近西藏中路）
上海飞行家主题乐园 , 上海浦东新区国展路311号
昆山亭林园 , 苏州昆山市马鞍山路1号
上海扬子江万丽大酒店 , 上海市长宁区延安西路2099号
奉贤碧海金沙景区 , 上海市近郊奉贤区海湾旅游区海鸥路39号
星空剧场 , 上海松江新城泰晤士小镇626号
浦东三甲港 , 浦东新区华夏东路6015号
上海国际会议中心 , 滨江大道2727号
上海市浦江镇沈杜公路召稼楼礼园 , 闵行区浦江镇沈杜公路召稼楼古镇内(陈南路陈中路)
上海世博中心 , 浦东新区世博大道1500号
上海月星环球港 , 上海市普陀区中山北路3300号(近宁夏路、金沙江路)
CLUB MYST , 上海市静安区延安中路1123号
闸北体育馆 , 闸北区中华新路475号(近共和新路)
徐汇影剧场 , 徐汇区田林东路588号(近柳州路)
Richy 酒吧 , 卢湾区皋兰路2号甲复兴公园内(近思南路)
乌镇大剧院1 , 桐乡市乌镇镇西栅景区
上海东江体育俱乐部（浦东新区浦明路1888号） , 上海市浦东新区浦明路1888号
博大汽车公园 , 上海市浦东新区国展路189号
上海国际时尚中心 , 上海市杨浦区杨树浦路2866号
韩国国际会展中心（重复） , 韩国首尔京畿道高阳市 一山西区大化洞
上海市松江区方塔园 , 松江区松江中山东路235号(近方塔南路)
风云电竞馆(原世博综艺大厅) , 上海市鲁班路899号
金山区体育中心 , 松卫南路1700号
CA Club , 太仓路181弄15号
哈哈欢乐城堡 , 锦延路35号(近锦康路)
锦辉演艺空间 , 浦东张杨路400号
M2 , 淮海中路283号南座4F (香港广场)
The 7th Floor 七楼 , 上海市黄浦区淮海中路8号兰生大厦7楼（近柳林路）
上海动漫博物馆 , 上海市浦东新区张江路69号
MUSE , 上海市北京东路99号5楼 (益丰 外滩源)
上海浦东展览馆 , 浦东新区合欢路201号(迎春路口)
上海万豪虹桥大酒店 , 上海长宁区虹桥路2270号
沃弗1846 , 外马路601号靠近毛家园路
美罗城 , 上海市徐汇区肇嘉浜路1111号
芮欧百货 , 南京西路1601号(近常德路)
上海光大会展中心 , 徐汇区漕宝路88号西馆2F、3F
海上阿叔(黄浦店) , 黄浦区延安东路222号外滩中心B1楼(近江西中路)
静安嘉里中心 , 上海市静安区南京西路1515号
上海唱吧加空间 , 塘子泾路228号
上海老码头黄浦江畔（外马路543号甲） , 上海老码头黄浦江畔（外马路543号甲）
桂林公园 , 桂林路128号
浦东滨江金融广场 , 银城中路9号
西岸艺术中心 , 龙腾大道2555号
松声马术俱乐部 , 奉贤区奉贤区人民塘东路621号(近浦星公路)
上海艺术礼品博物馆（天山公园内） , 上海市长宁区延安西路1731号天山公园内
碧海金沙(上海市奉贤区海湾旅游区海涵路6号) , 海湾旅游区海涵路6号
虹桥当代艺术剧院 , 长宁区仙霞路650号长宁文化艺术中心2楼
襄阳公园 , 徐汇区淮海中路1008号(近襄阳北路)
MOVIE COFFEE电影主题音乐酒吧 , 番禺路390号时代大厦1楼
沪西大剧院 , 上海普陀区武宁路205号
上海明捷万丽酒店 , 上海市普陀区铜川路50号
悦达889商业广场 , 上海市静安区万航渡路889号
上钢三厂 , 龙滨路18号
正大乐城 , 中山南二路699号
茄子喜剧中心 , 黄陂南路700号D栋底楼
东方明珠 , 浦东新区浦东世纪大道1号(近二号线陆家嘴站)
华东师范大学逸夫楼报告厅 , 普陀区中山北路3663号
玫瑰里 , 上海市秦皇岛路32号E栋玫瑰里
上海香港广场 , 上海市黄埔区淮海中路282-283号
上剧场 , 上海市徐汇区肇嘉浜路1111号美罗城5楼
波兰倒置屋 , 上海市金山区枫泾镇中国农民画村
东方路1号其昌栈码头 , 滨江大道1658号
Rolling Music 音乐教室 , 上海静安区镇宁路200号
夏加儿美术教育 , 上海市杨浦区国顺东路800号东楼502室夏加儿美术教育（靠近双阳北路）
千人测试馆 , 上海普陀dot街道11号
LINX , 卢湾区淮海中路98号金钟广场3楼(近柳林路)
音味爱音乐主题餐厅 , 上海静安区北京西路1825号B座（近万航渡路）
滴水湖 , 上海市浦东新区申港大道环湖西一路
淀山湖 , 青浦区金商公路588号
新场古镇 , 上海市浦东新区新场镇海泉街128号
M50+艺术中心 , 上海市普陀区莫干山路50号
上海邮电俱乐部 , 四川北路65号
湖滨道购物中心 , 上海市黄浦区湖滨路150号
梦花源 , 浦江镇芦恒路1398号
上海京剧院 , 上海徐汇区天钥桥路1198号
伟成彩弹射击运动中心 , 洞泾镇辰花路388号青青旅游世界内(近沪松公路)
近铁城市广场 , 上海市普陀区近铁城市广场北座B1层
中国工业设计博物馆 , 逸仙路3000号
云Space秀场 , 上海市宝山区长江路258号（近军工路） 中成智谷创意产业园
三林体育中心 , 浦东新区齐河路471号(近云莲路)
上海市浦东新区耀龙路100号 , 上海市浦东新区耀龙路100号
朵云轩艺术中心 , 上海市天钥桥路1188号
虹桥南丰城 北区 六楼 , 虹桥南丰城 长宁区遵义路100号(紫云路)
McKinnon酒店 , 上海市静安区北京西路1013号
合生汇(上海五角场合生汇) , 上海市杨浦区黄兴路2228号合生国际广场五层
嘉定影剧院 , 上海市嘉定区城中路149号
上海迪士尼乐园 , 上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园
上海市嘉定体育馆 , 上海市嘉定区新成路118号
世贸商城展览馆 , 上海市长宁区兴义路99号(娄山关路兴义路)
申迪生态园 , 上海市浦东新区申迪东路399弄188号
新虹桥中心花园 , 延安西路2238号（近伊犁路）
Some Coffee Bar , 上海海宁路1355号（大悦城旁）
萌物园（大团桃园） , 上海市浦东新区东大公路888号
临港新城皇冠假日酒店 , 上海市浦东新区临港新城南岛1号(滴水湖南岛之上)
上海东方佘山索菲特大酒店 , 上海市松江区泗泾镇泗陈公路3388弄上海东方佘山索菲特大酒店
音乐剧主题餐厅 , 北京西路1825号b座
上海城市草坪音乐广场 , 延安东路523号（近金陵中路）
浦东新区文化艺术指导中心惠南分中心 , 靖海路509号
上海梅陇文化馆 , 上海市徐汇区梅陇路415号
徐家汇社区文化活动中心剧场 , 南丹东路109号（近天钥桥路）
普陀长征社区文化活动中心 , 上海市普陀区梅川路1255号(近百安居)
虹口文化馆剧场 , 虹口文化馆剧场位于上海市虹口区水电路1412号三楼
宝山月浦文化馆剧场 , 上海市宝山区龙镇路88号
嘉定秀舞台 , 嘉定区裕民南路1288号
松江剧场 , 松江区中山中路37号
赵巷文化中心 , 青浦区赵巷镇赵华路507号
重固镇影剧院 , 通波塘西街28号
奉贤区会议中心 , 奉贤区解放东路928号
崇明影剧院 , 城桥镇81路488号
崇明文化馆 , 城桥镇崇明大道7887号
周浦镇文化中心 , 周浦镇周东路266号
张江长泰广场 , 浦东新区金科路2889弄
汇金百货 , 上海市徐汇区肇嘉浜路1000号
奉城影剧院 , 奉贤区奉城镇东街27号
宝山文化馆 , 宝山区牡丹江路1760号
嘉定区文化馆剧场 , 嘉定区塔秀路33号
文化馆剧场（虹口区广中路123号） , 虹口区广中路123号
青浦夏阳街道社区公共文化活动中心 , 青浦区青昆路100号
奉贤头桥影剧院 , 奉贤区头桥镇红旗路3号
巴洛斯咖啡馆 , 陆家浜路388号3楼巴洛斯咖啡
上海欢乐谷华侨城大剧院 , 佘山林湖路888号欢乐谷金矿镇内
上海八舍咖啡 , 上海市静安区新闸路1438号
696LIVE , 东江湾路空间188内A栋115
Cavalia白色顶棚（移动帐篷） , 世博板块中国馆旁，中华艺术宫南面
LUCE CLUB , 金陵中路88号7号门上海音乐厅4楼
复旦大学正大集团体育馆 , 杨浦区国权路505号
上海万达影城宝山店 , 上海市宝山区一二八纪念路988弄1号万达广场5楼
幻梦空间（Running Dream）上海站 , 杨浦区邯郸路585号苏宁生活广场（五角场店）B1 中庭
MJ Club , 黄浦区外滩中山东二路575号
汇银大厦4楼 , 上海市静安区南京西路758号4楼 近凤阳路口（汇银大厦）
上海动物园 , 上海市长宁区虹桥路 2381 号
静安公园 , 南京西路1649号
豫园戏苑 , 上海市黄浦区文昌路10号4F
鄂尔多斯国际大厦 , 浦东区浦东南路1118号
虹口足球场包厢 , 上海市东江湾路444号
松江区上海立信会计学院 , 上海市松江大学城文翔路2800号
惠南群星剧场 , 靖海路509号
上海电影博物馆 , 上海市徐汇区漕溪北路595号
远景之丘 , 上海市浦东新区芳甸路1188弄户外广场（花木路7号线3号口）
大光明电影院 , 上海市黄浦区南京西路216号
上海UME国际影城宝山店 , 宝山区牡丹江路318号诺亚新天地广场D栋四楼
莘庄海上国际影城 , 沪闵路6088号凯德龙之梦四楼
浦东双辉广场 , 上海市浦东新区银城路99号（近浦东南路）
上海社会科学院影视厅 , 淮海中路622弄7号
普陀区少年活动中心 , 枣阳路108号
星艺剧场 , 闵行区莘庄莘松路350号3楼
宝宸体育馆 , 上海市宝山区永清路700号
静安嘉里百美汇3号厅 , 上海市静安区南京西路1551号 静安嘉里中心商场N4-01室
世博板块中国馆旁 , 洪山路雪野路 中华艺术宫南面
华东政法大学松江校区-富田体育馆 , 松江大学园区龙源路555号
观复博物馆 , 上海浦东新区陆家嘴环路479号上海中心大厦37层 
青浦区赵巷影剧院 , 上海青浦区赵中路28号
嘉定区外冈蜡梅园 , 墨玉北路2700号
上影希杰莘庄影城 , 闵行区都市路5001号仲盛世界商城4楼
Shanghai Rose , 黄浦区南苏州路76号(近圆明园路)
X-CLUB镭战主题酒吧 , 上海市徐汇区肇嘉浜路366号裕华大厦地下一楼（襄阳南路口）
上海城市雕塑艺术中心A区（上海市淮海西路570号A103） , 淮海西路570号
上海世博冰雕艺术馆 , 上海浦东新区耀龙路190号
禅溪茶馆 , 静安区大沽路396号
上海图书馆 , 上海市徐汇区淮海中路1555号
上海兰生典尚影院 , 淮海中路8号（柳林路1号）兰生大厦5楼
上海星美国际影城 , 虹口区海宁路330号，近乍浦路
上海影城 , 长宁区新华路160号番禺路口
太阳CITY广场3楼 , 上海市静安区恒丰路299号
上海庆春电影城 , 田林路140号15-4
金山足球场 , 上海市金山区石化卫零路
上海环球港四楼博物馆 , 普陀区中山北路3300号
洛克公园 , 上海市浦东新区世博园五区上南路168号
上海香格里拉大酒店 , 上海浦东新区富城路33号
上海17.5影城又一城店 , 淞沪路8号百联又一城购物中心8楼
柯达电影世界 , 上海市肇嘉浜路1111号（美罗城5楼）
江湾体育场 , 上海市杨浦区国和路346号
上海西班牙中心 , 浦东新区博成路453号、原世博西班牙馆
上海万达影城（周浦店）5号厅 , 上海市周浦镇年家浜路518号万达广场C座4楼
世博中心（红厅） , 世博大道1500号(近世博馆路)
上海木偶剧团演展中心 , 上海市黄浦区南京西路388号仙乐斯广场五楼
上海崇明东平国家森林公园 , 上海市崇明北沿公路2188号
快乐船长码头 , 上海浦东新区滨江大道4298号
ASC藏酒轩 , 上海市乌鲁木齐南路55号(近衡山路)
悉尼 , 悉尼
罗杰娱乐宫 , 上海卢湾区淮海中路283号香港广场南座四楼
上海索菲特海仑宾馆 , 黄浦区南京东路505号(近福建中路)
百丽宫ifc商场店2号厅 , 浦东新区世纪大道8号国金中心商场地下一层LG1-1(近银城中路)
国泰电影院 , 上海市卢湾区淮海中路870号（茂名南路口）
上海游泳馆 , 上海市徐汇区中山南二路1300号
上海陶瓷科技艺术馆 , 上海市逸仙路3000号3号楼3层
日月光中心 , 上海市黄浦区徐家汇路618号
Movie coffee 电影主题音乐酒吧 , 延安西路3300号
上海泰康路210弄田子坊艺术中心2楼 , 田子坊1号口进去200米
崇明县竖新镇仙桥村 , 崇明县竖新镇仙桥村
上海太阳岛度假村沙滩浴场 , 青浦区朱家角镇沈太路2588号
JOJO真人密室游戏馆 , 上海市普陀区长寿路457号2楼
共青森林公园 , 上海市杨浦区军工路2000号
龙华古寺 , 上海市龙华路2853号
3QUARKS , 区钦州路518号
上海万裕国际影城(淮海店) , 上海市黄浦区淮海中路99号大上海市时代广场6层
上海小南国花园酒店 , 佳木斯路777号
世博源上海市浦东新区世博大道1200号旁 , 世博源上海市浦东新区世博大道1200号旁
Haven Shanghai , 中山南路1029号幸福码头3号楼
Sabatini 意大利餐厅 , 上海市静安区南京西路1717号会德丰广场南院1层，华山路延安中路口
龙美术馆（西岸馆） , 龙腾大道3398号
花园饭店 , 上海市卢湾区茂名南路58号
上海徐汇滨江东方梦工场 , 龙腾大道2350号
上海绝对浩室数字音乐俱乐部 , 上海茶陵北路20号X2创意空间6号楼，近斜土路
沪北电影院 , 上海市闸北区洛川东路500号
海神诺富特大酒店 , 上海市浦东大道728号
百丽宫ifc商场店3号厅 , 浦东新区世纪大道8号国金中心商场地下一层LG1-1(近银城中路)
豫上海餐厅剧院 , 上海市黄浦区旧校场路69号3楼
上海精文艺术中心 , 上海市浦东新区世纪大道88号金茂大厦裙房,精文艺术中心三、四楼
陆家嘴北滨江亲水平台 , 滨江大道2450号
八号桥三期 , 黄浦区局门路550号1号楼
世博源大舞台（浦东） , 周家渡路209号世博源3区L2层
JOYPOLIS , 中山北路3300号环球港4楼L4081
上海永华电影城 , 上海市虹桥路1号徐家汇港汇广场六楼
华大SIGMA电影会所 , 上海市黄浦区外马路601号3A华大电影会所
大上海电影院 , 西藏中路500号市百一店新楼8楼
金逸影城（凯德龙之梦虹口店) , 西江湾路388号B座6楼
南翔青年梦想电影城 , 南翔沪宜公路1101号2A幢
龙华旅游城 , 上海市徐汇区龙华路2933号
闵行区华东师范大学 , 东川路500号篮球馆
巴斯蒂安（上海）音乐中心 , 上海市闸北区共和新路2623号2号楼2207室
星美国际电影院 , 海宁路330号
龙兰路绿地 , 龙腾大道2555号
民生剧院 , 淮海西路570号红坊艺术园区F座民生美术馆2F影像
真汉咖啡剧场 , 肇嘉浜路567号
上海世博马术公园 , 浦东世博园区洪山路雪野路
浦东世纪广场 , 浦东新区浦东南路世纪大道2100号
超极电影世界 , 肇嘉浜路1111号美罗城5层
GameBling酒吧 , 汉口路266号申大厦20-21楼（近河南中路）
上海市浦东新区秋荷路33弄88号（原南公馆高尔夫球场） , 秋荷路33弄88号
上海1st Class酒吧（头等舱酒吧） , 上海市番禺路390号
